n: 30000	 # of Threads: 64	 Type 2	 Time elapsed: 13.93485
n: 30000	 # of Threads: 64	 Type 2	 Time elapsed: 13.51889

n: 40000	 # of Threads: 1	 Type 0	 Time elapsed: 157.16677
n: 40000	 # of Threads: 1	 Type 0	 Time elapsed: 158.76667
n: 40000	 # of Threads: 1	 Type 0	 Time elapsed: 158.49403
n: 40000	 # of Threads: 1	 Type 1	 Time elapsed: 158.28739
n: 40000	 # of Threads: 1	 Type 1	 Time elapsed: 159.78914
n: 40000	 # of Threads: 1	 Type 1	 Time elapsed: 158.78648
n: 40000	 # of Threads: 2	 Type 1	 Time elapsed: 78.41044
n: 40000	 # of Threads: 2	 Type 1	 Time elapsed: 78.52319
n: 40000	 # of Threads: 2	 Type 1	 Time elapsed: 78.46043
n: 40000	 # of Threads: 4	 Type 1	 Time elapsed: 41.63418
n: 40000	 # of Threads: 4	 Type 1	 Time elapsed: 41.54445
n: 40000	 # of Threads: 4	 Type 1	 Time elapsed: 41.73411
n: 40000	 # of Threads: 8	 Type 1	 Time elapsed: 30.14316
n: 40000	 # of Threads: 8	 Type 1	 Time elapsed: 31.04629
n: 40000	 # of Threads: 8	 Type 1	 Time elapsed: 30.56224
n: 40000	 # of Threads: 16	 Type 1	 Time elapsed: 31.51615
n: 40000	 # of Threads: 16	 Type 1	 Time elapsed: 31.71578
n: 40000	 # of Threads: 16	 Type 1	 Time elapsed: 31.83505
n: 40000	 # of Threads: 32	 Type 1	 Time elapsed: 31.69597
n: 40000	 # of Threads: 32	 Type 1	 Time elapsed: 32.24200
n: 40000	 # of Threads: 32	 Type 1	 Time elapsed: 32.11784
n: 40000	 # of Threads: 64	 Type 1	 Time elapsed: 31.60883
n: 40000	 # of Threads: 64	 Type 1	 Time elapsed: 31.51159
n: 40000	 # of Threads: 64	 Type 1	 Time elapsed: 31.50529
n: 40000	 # of Threads: 1	 Type 2	 Time elapsed: 71.68409
n: 40000	 # of Threads: 1	 Type 2	 Time elapsed: 71.58831
n: 40000	 # of Threads: 1	 Type 2	 Time elapsed: 71.59458
n: 40000	 # of Threads: 2	 Type 2	 Time elapsed: 37.68779
n: 40000	 # of Threads: 2	 Type 2	 Time elapsed: 55.67444
n: 40000	 # of Threads: 2	 Type 2	 Time elapsed: 39.53799
n: 40000	 # of Threads: 4	 Type 2	 Time elapsed: 27.30916
n: 40000	 # of Threads: 4	 Type 2	 Time elapsed: 30.89209
n: 40000	 # of Threads: 4	 Type 2	 Time elapsed: 25.80430
n: 40000	 # of Threads: 8	 Type 2	 Time elapsed: 31.79963
n: 40000	 # of Threads: 8	 Type 2	 Time elapsed: 31.66542
n: 40000	 # of Threads: 8	 Type 2	 Time elapsed: 31.30183
n: 40000	 # of Threads: 16	 Type 2	 Time elapsed: 29.82941
n: 40000	 # of Threads: 16	 Type 2	 Time elapsed: 29.70517
n: 40000	 # of Threads: 16	 Type 2	 Time elapsed: 30.02146
n: 40000	 # of Threads: 32	 Type 2	 Time elapsed: 30.91433
n: 40000	 # of Threads: 32	 Type 2	 Time elapsed: 30.25475
n: 40000	 # of Threads: 32	 Type 2	 Time elapsed: 30.39265
n: 40000	 # of Threads: 64	 Type 2	 Time elapsed: 32.30402
n: 40000	 # of Threads: 64	 Type 2	 Time elapsed: 32.09956
n: 40000	 # of Threads: 64	 Type 2	 Time elapsed: 31.97016
